t,mean_speed,coherence,n_clusters,mean_cluster_size,n_edges,mean_novelty,mean_boreness,mean_load,n_joined,n_detached,n_merges,mean_omega0,std_omega0
1,0.24779056532936938,0.13315925317359134,35,1.4285714285714286,17,0.2667942709009595,0.0,1.793826562540576,17,0,17,0.1512899647089634,0.009111315162920573
2,0.26142059696563724,0.13337625011606305,35,1.4285714285714286,17,0.2347930521870707,0.0,1.7636883313122425,0,0,0,0.1512899647089634,0.009111315162920573
3,0.2705628520324353,0.1335918277845937,35,1.4285714285714286,17,0.20665283004447615,0.0,1.7546010730266857,0,0,0,0.1512899647089634,0.009111315162920573
4,0.284683890662337,0.13380597782053638,35,1.4285714285714286,17,0.1820789830534116,0.0,1.7029544210820469,0,0,0,0.1512899647089634,0.009111315162920573
5,0.3038378834237252,0.13401869190946544,35,1.4285714285714286,17,0.16029029554500543,0.0,1.6849544507645038,0,0,0,0.1512899647089634,0.009111315162920573
6,0.31463203675124257,0.13422996178143506,35,1.4285714285714286,17,0.1405370230393867,0.0,1.6694074189017574,0,0,0,0.1512899647089634,0.009111315162920573
7,0.3298746025838673,0.13443977921123834,35,1.4285714285714286,17,0.1236928257778678,0.0,1.6565295992753144,0,0,0,0.1512899647089634,0.009111315162920573
8,0.33343992106662923,0.1346481360186678,35,1.4285714285714286,17,0.10890164556610073,4.444416398540485e-06,1.6295764151961059,0,0,0,0.1512899647089634,0.009111315162920573
9,0.3331086556724936,0.13485502406877517,35,1.4285714285714286,17,0.09549568520353958,0.0002156279649382372,1.6372239820144576,0,0,0,0.1512899647089634,0.009111315162920573
10,0.32907759290306027,0.13506043527213313,35,1.4285714285714286,17,0.08405253399769083,0.0007795179514544772,1.6288764485678653,0,0,0,0.1512899647089634,0.009111315162920573
11,0.32791291142359424,0.1352643615850968,35,1.4285714285714286,17,0.07404687928745415,0.0016982623710845284,1.605761823699411,0,0,0,0.1512899647089634,0.009111315162920573
12,0.32681283446009574,0.13546679501006598,35,1.4285714285714286,17,0.06691033734621728,0.0028364632425489002,1.6338964745029336,0,0,0,0.1512899647089634,0.009111315162920573
13,0.3232971544011411,0.1356677275957477,35,1.4285714285714286,17,0.05881755019361979,0.0041538267354610196,1.6281032341875743,0,0,0,0.1512899647089634,0.009111315162920573
14,0.3249038680715555,0.1358671514374195,35,1.4285714285714286,17,0.05259103636307604,0.005406292503876014,1.6569141498713975,0,0,0,0.1512899647089634,0.009111315162920573
15,0.32684422245214473,0.1360650586771928,35,1.4285714285714286,17,0.046504094730543045,0.006909042235555746,1.6536721028784895,0,0,0,0.1512899647089634,0.009111315162920573
16,0.32652186309698317,0.14659230105911128,34,1.4705882352941178,18,0.05375348669581931,0.008194070569238402,1.6815793265476149,1,0,1,0.1512899647089634,0.009111315162920573
